category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
 Film-Forming/Holding Agents,gums,,,,,,Good
 Thickeners/Emulsifiers,Haslea,ostrearia,extract,,,,Good
 Skin-Softening,hexyldecanol,,,,,,Good
Slip Agents,hexylene,glycol,,,,,Good
 Skin-Softening,hexyl,laurate,,,,,Good
 Thickeners/Emulsifiers,Himanthalia,elongate,extract,,,,Good
 Preservatives,hoelen,,,,,,Best
 Skin-Softening,hydrogenated,polyisobutene,,,,,Good
Film-Forming/Holding Agents,hydrogenated,starch,hydrolysate,,,,Good
 Hydration,hydrogenated,starch,hydrolysate,,,,Good
 Emulsifiers,hydrogenated,vegetable,glycerides,citrate,,,Good
 Skin-Softening,hydrolyzed,glycosaminoglycans,,,,,Best
 Skin-Softening,hydrolyzed,jojoba,esters,,,,Best
 Slip Agents,hydrolyzed,silk,,,,,Good
 Hydration,hydrolyzed,vegetable,protein,,,,Good
 Film-Forming/Holding Agents,hydrolyzed,wheat,protein,,,,Good
 Film-Forming/Holding Agents,hydroxyethylcellulose,,,,,,Good
Hydration,hydroxyethyl,urea,,,,,Good
Emulsifiers,isoamyl,laurate,,,,,Good
Emulsifiers,isopropyl,titanium,triisostearate,,,,Good
 Silicones,isopropyl,titanium,triisostearte/triethoxycaprylylsilane,crosspolymer,,,Good
 Miscellaneous,lady's,mantle,extract,,,,Poor
Emulsifiers,lauryl,PEG-9,polydimethylsiloxyethyl,dimethicone,,,Good
 Miscellaneous,lauryl,PEG-9,polydimethylsiloxyethyl,dimethicone,,,Good
 Film-Forming/Holding Agents,locust,bean,,,,,Good
 Miscellaneous,magnesium,hydroxide,,,,,Good
 Film-Forming Agents,maltooligosyl,glucoside,,,,,Good
 Emulsifiers,maltooligosyl,glucoside,,,,,Good
 Slip Agents,methicone,,,,,,Good
Skin-Softening,methyl,gluceth-20,,,,,Good
Skin-Softening,methylglucoside,phosphate,,,,,Good
 Hydration,methylpropanediol,,,,,,Good
 Slip Agents,methyl,trimethicone,,,,,Good
Skin-Softening,oleyl,erucate,,,,,Good
Skin-Softening,Oryza,sativa,cera,,,,Best
 Emulsifiers,PEG-10,phytosterol,,,,,Good
Film-Forming Agents,polyacrylate,crosspolymer,,,,,Good
 Scrub Agents,polyethylene,,,,,,Good
 Scrub Agents,polyethylene,glycol,,,,,Good
 Anti-Acne,salicylic,acid,,,,,Best
Scrub Agents,sea,salt,,,,,Average
 Slip Agents,silica,dimethyl,silylate,,,,Good
 Slip Agents,silicone,,,,,,Good
Slip Agents,slip,agent,,,,,Good
 Scrub Agents,sodium,bicarbonate,,,,,Good
Film-Forming/Holding Agents,sodium,carbomer,,,,,Good
Scrub Agents,sodium,chloride,,,,,Good
 Preservatives,sodium,citrate,,,,,Good
 Preservatives,sodium,hexametaphosphate,,,,,Good
 Film-Forming Agents,sodium,hyaluronate,crosspolymer,,,,Best
Thickeners,tapioca,starch,,,,,Good
 Coloring Agents/Pigments,titanium,dioxide,,,,,Best
 Emulsifiers,triethanolamine,,,,,,Good
Thickeners,vinyl,dimethicone/methicone,silsesquioxane,crosspolymer,,,Good
 Silicones,vinyl,dimethicone/methicone,silsesquioxane,crosspolymer,,,Good
 Coloring Agents/Pigments,zinc,oxide,,,,,Best
 Coloring Agents/Pigments,zinc,stearate,,,,,Good
