,categories,descriptions,rating,title
90,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...
				                </p>",Good,ammonium laureth sulfate
91,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...
				                </p>",Good,ammonium lauryl sulfate
92,"['Silicones', 'Emollients', 'Texture Enhancer']",,Good,amodimethicone
93,"['Exfoliant', 'Antioxidants']",,Good,amygdalic acid
94,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Fragrant component.
				                </p>",Poor,amyl cinnamate
95,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Fragrant component.
				                </p>",Poor,amyl salicylate
96,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fragrant oil. It has no other known benefit for skin.
				                </p>",Poor,amyris oil
97,['Plant Extracts'],,Poor,Anacyclus pyrethrum
98,"['Antioxidants', 'Plant Extracts', 'Texture Enhancer', 'Emollients']",,Good,Anacystis nidulans extract
99,"['Plant Extracts', 'Exfoliant']",,Good,Ananas sativus fruit extract
100,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extracted from the Brazilian mahogany tree; it has soothing properties (Source:...
				                </p>",Good,andiroba oil
101,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Average,Anethum graveolens
102,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be...
				                </p>",Poor,Angelica archangelica root oil
103,"['Antioxidants', 'Plant Extracts']",,Poor,Angelica polymorpha sinensis root extract
104,['Hydration'],"<p class=""description ingredient-description"">
				                	A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture.
				                </p>",GOOD,anhydroxylitol
105,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Synthetic fragrance used in cosmetics.
				                </p>",Poor,anisaldehyde
106,"['Antioxidants', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Also known as aniseed, it can have antioxidant properties...
				                </p>",Poor,anise
107,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native...
				                </p>",Good,annato extract
108,"['Skin-Soothing', 'Antioxidants']",,Best,Anthemis nobilis flower extract
109,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Group of naturally occurring substances found in plants that give fruits, vegetables, and plants...
				                </p>",Best,anthocyanin
110,['Antioxidants'],"<p class=""description ingredient-description"">
				                	General term for a large group of natural and synthetic ingredients that work to reduce...
				                </p>",Best,antioxidant
111,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.
				                </p>",Best,apple fruit extract
112,['Scrub Agents'],"<p class=""description ingredient-description"">
				                	Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and...
				                </p>",Average,apricot kernel
113,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.
				                </p>",Best,apricot kernel oil
114,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
				                </p>",Good,arachidic acid
115,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Waxy substance used as a thickening agent and emollient in cosmetics.
				                </p>",Good,arachidyl alcohol
116,['Cleansing Agents'],"<p class=""description ingredient-description"">
				                	A mild surfactant (cleansing) and emulsifying agent, made from...
				                </p>",Good,arachidyl glucoside
117,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Waxy substance used as a thickening agent and emollient in cosmetics.
				                </p>",Good,arachidyl propionate
118,"['Skin-Soothing', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract of the plant commonly known as the peanut. It can have emollient and skin soothing...
				                </p>",Best,Arachis hypogaea extract
119,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Isolated from the leaves of the bearberry shrub, cranberry, blueberry, some...
				                </p>",Best,arbutin
120,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']",,Best,Arctium lappa
121,"['Plant Extracts', 'Antioxidants', 'Skin-Soothing']",,Best,Arctium majus
122,"['Antioxidants', 'Plant Extracts']",,Best,Arctostaphylos uva ursi leaf
123,"['Antioxidants', 'Plant Extracts']",,Best,Argania spinosa
124,"['Antioxidants', 'Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin...
				                </p>",Best,argan oil
125,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Amino acid that has antioxidant properties and can be helpful for soothing skin (Sources: Journal...
				                </p>",Good,arginine
126,['Skin-Restoring'],,Average,Argireline
127,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Extract from the plant Arnica montana. There is research showing that when arnica is taken orally...
				                </p>",Poor,arnica extract
128,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint....
				                </p>",Average,aroma/flavor
129,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Thickening agent; it has no known benefit for skin.
				                </p>",Average,arrowroot
130,"['Antioxidants', 'Plant Extracts', 'Emollients', 'Texture Enhancer']",,Good,artemia extract
131,['Plant Extracts'],,Average,Artemisia absinthium extract
132,['Plant Extracts'],,Average,Artemisia vulgaris
133,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Species of seaweed.
				                </p>",Good,Ascophyllum nodosum
134,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and...
				                </p>",Best,ascorbic acid
135,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Form of vitamin C that has little research showing it has the antioxidant or brightening...
				                </p>",Best,ascorbyl glucosamine
136,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Stable form of vitamin C combined with glucose.When properly formulated and absorbed into...
				                </p>",Best,ascorbyl glucoside
137,"['Antioxidants', 'Texture Enhancer', 'Vitamins']","<p class=""description ingredient-description"">
				                	Form of vitamin C that is considered stable and that functions as an antioxidant and thickening...
				                </p>",Best,ascorbyl methylsilanol pectinate
138,"['Antioxidants', 'Vitamins']","<p class=""description ingredient-description"">
				                	Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and...
				                </p>",Best,ascorbyl palmitate
139,['Antioxidants'],,Good,asparagine
140,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	Extract derived from seaweed.
				                </p>",Good,Asparagopsis armata extract
141,"['Antioxidants', 'Skin-Replenishing']",,Good,aspartic acid
142,['Antioxidants'],,Best,astaxanthin
143,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions...
				                </p>",Best,astaxanthin extract
144,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Latin name for the Chinese herb Huang-Qi, also known as milk vetch.
				                </p>",Best,Astragalus membranaceus
145,"['Antioxidants', 'Plant Extracts']",,Good,Astragalus sinicus
146,"['Emollients', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep...
				                </p>",Good,Astrocaryum murumuru seed butter
147,"['Skin-Soothing', 'Skin-Restoring']",,Best,ATP
148,"['Antioxidants', 'Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	A natural plant extract commonly used in Chinese and Korean herbal medicines.
				                </p>",Best,atractylodes macrocephala root powder
149,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative...
				                </p>",Average,Atractyloydes lancea root extract
150,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	See oatmeal, oat bran extract, gluten ingredients…
				                </p>",Best,Avena sativa
151,['Sunscreen Actives'],"<p class=""description ingredient-description"">
				                	Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that...
				                </p>",Best,avobenzone
152,"['Antioxidants', 'Emollients']","<p class=""description ingredient-description"">
				                	Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.
				                </p>",Best,avocado oil
153,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	English name for wild ginger.
				                </p>",Poor,awapuhi
154,"['Plant Extracts', 'Antioxidants']",,Poor,Azadirachta indica
155,"['Skin-Soothing', 'Antioxidants', 'Exfoliant']","<p class=""description ingredient-description"">
				                	A type of acid known as a dicarboxylic acid derived from grains that offers numerous benefits when applied to skin.
				                </p>",Best,azelaic acid
156,['Uncategorized'],,Best,Azelex
157,['Scrub Agents'],"<p class=""description ingredient-description"">
				                	Legumes that are often ground up for use in skincare scrub products.
				                </p>",Average,azuki beans
158,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and...
				                </p>",Average,azulene
159,"['Plant Extracts', 'Emollients']","<p class=""description ingredient-description"">
				                	Plant oil that can have emollient properties for skin. There is no research showing it has special...
				                </p>",Good,babassu oil
160,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia...
				                </p>",Good,bakuchiol
161,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity…
				                </p>",Poor,balm mint extract
162,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Fatty resin that when applied topically can cause skin sensitivity…
				                </p>",Poor,balsam peru
163,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Extract from the common bamboo plant. Like many plant extracts, research has shown...
				                </p>",Best,Bambusa vulgaris (bamboo) leaf/stem extract
164,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,...
				                </p>",Average,banana extract
165,['Skin-Soothing'],"<p class=""description ingredient-description"">
				                	Plant whose primary component, berberine, is an alkaloid that can have soothing properties and...
				                </p>",Best,barberry
166,['Coloring Agents/Pigments'],"<p class=""description ingredient-description"">
				                	Mineral used as a whitening agent in cosmetics. It can be sensitizing.
				                </p>",Poor,barium sulfate
167,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Extract from barley plants. Can have antioxidant properties when ingested, but there is no research...
				                </p>",Average,barley extract
168,['Emollients'],"<p class=""description ingredient-description"">
				                	Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent.
				                </p>",Good,batyl alcohol
169,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	Has the potential to provide antioxidant benefits for skin…
				                </p>",Poor,bay leaf oil
170,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing...
				                </p>",Good,bearberry extract
171,['Uncategorized'],"<p class=""description ingredient-description"">
				                	Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages...
				                </p>",Poor,bee pollen
172,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has...
				                </p>",Good,beeswax
173,"['Antioxidants', 'Coloring Agents/Pigments', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most...
				                </p>",Good,beet root extract
174,['Thickeners/Emulsifiers'],"<p class=""description ingredient-description"">
				                	A synthetic or plant-derived derivative of polyethylene glycol and behenyl alcohol that functions as an emulsifier and can also be a surfactant.
				                </p>",Good,beheneth-5
175,"['Texture Enhancer', 'Cleansing Agents']","<p class=""description ingredient-description"">
				                	Fatty acid used as a thickening agent and surfactant.
				                </p>",Good,behenic acid
176,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Skin-conditioning agent and emulsifier.
				                </p>",Good,behentrimonium chloride
177,['Texture Enhancer'],"<p class=""description ingredient-description"">
				                	Thickening agent used in cosmetics. It is not related to irritating forms of alcohol.
				                </p>",Good,behenyl alcohol
178,['Plant Extracts'],,Poor,Bellis perennis
179,['Absorbent'],"<p class=""description ingredient-description"">
				                	Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its...
				                </p>",Good,bentonite
180,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Used as a preservative in skincare products. There is no research showing it...
				                </p>",Average,benzalkonium chloride
181,['Sunscreen Actives'],"<p class=""description ingredient-description"">
				                	Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and...
				                </p>",Good,benzephenone-3
182,['Preservatives'],"<p class=""description ingredient-description"">
				                	Preservative used in skincare products; it is considered less sensitizing than some other forms of...
				                </p>",Good,benzoic acid
183,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	Balsam resin that has some fragrant properties; it may also be sensitizing to skin…
				                </p>",Poor,benzoin extract
184,['Sunscreen Actives'],"<p class=""description ingredient-description"">
				                	Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and...
				                </p>",Good,benzophenone
185,['Preservatives'],"<p class=""description ingredient-description"">
				                	Compound used as a preservative in cosmetics. It is generally considered less sensitizing…
				                </p>",Good,benzothonium chloride
186,['Anti-Acne'],"<p class=""description ingredient-description"">
				                	Benzoyl peroxide is considered the most effective over-the-counter topical acne treatment. Learn more.
				                </p>",Best,benzoyl peroxide
187,['Preservatives'],"<p class=""description ingredient-description"">
				                	An organic alcohol that occurs naturally in some fruits (apricots, cranberries) and teas.
				                </p>",Good,benzyl alcohol
