title,scent,dry,Acne,oily,combination,antiaging,psoriasis,lightening,sensitive,pores,eyes,skintone,night,sunscreen,Rosacea,Neck,asin,producttype,price,numberreviews,imageurl,ingredients,
Eight Greens Phyto Masque,,1,1,1,1,1,0,0,0.6,0,0,0.9,0,0,0,0,28,mask,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/eight_greens_phyto_masque_-_hot.jpg?itok=TTTIVxE0,,
Hibiscus Instant Line Filler,,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,29,treatment,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/hibiscus_instant_line_filler.jpg?itok=y9Ueskaz,,
Lime Stimulating Treatment,,1,1,1,1,1,0,0,0,0.7,0,1,0,0,0,0,30,treatment,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/lime_stimulating_masque.jpg?itok=rYNabyap,,
Lotus Detoxifying Overnight Treatment,,1,1,1,1,1,0.9,0,1,0,0,0.8,0,0,0.4,0,31,treatment,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/lotus_detoxifying_overnight_treatment400pix.jpg?itok=gaiGe2Db,,
Eight Greens Youth Serum,,1,1,1,1,1,0.3,0,0.4,0.7,0,0.9,0,0,0,0,32,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/2142_eight_greens_youth_serum.jpg?itok=7y7-V9Qz,,
Bright Skin Licorice Root Booster Serum,,1,1,1,1,0.8,0,1,0.7,0,0,0.7,0,0,0,0,33,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/2278_bright_skin_licorice_root_booster_serum.jpg?itok=SOZ7dnmD,,
,scent,dry,Acne,oily,combination,antiaging,psoriasis,lightening,sensitive,pores,eyes,skintone,night,sunscreen,Rosacea,Neck,asin,producttype,price,numberreviews,,ingredients,title
Calm Skin Arnica Booster Serum,,0.9,0.9,0.9,0.9,0,0.6,0,1,0.3,0,0,0,0,1,0,34,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/2279_calm_skin_arnica_root_booster_serum.jpg?itok=99hAuOXa,,
Firm Skin Acai Booster Serum,,0.9,0.9,0.9,0.9,1,0,0,0.6,0.7,0,0.8,0,0,0.6,0,35,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/2281_firm_skin_acai_booster_serum.jpg?itok=NvFbYj_P,,
Clear Skin Willow Bark Booster Serum,,0,1,1,0.8,0,0,0,0,1,0,0.9,0,0,0,0,36,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/2280_clear_skin_willow_bark_booster_serum.jpg?itok=j018AUCR,,
Bamboo Firming Fluid,,1,0,0,1,1,0,0,0.2,0,0,1,0,0,0,0,37,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/bamboofirmingfluid_keyimage.jpg?itok=4-cSmgoZ,,
Facial Recovery Oil,,1,1,1,1,1,0.7,0,1,0,0,0.7,0,0,0.7,0,38,serum,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/facialrecoveryoil_keyimage.jpg?itok=PBv2ehpW,,
Bright Skin Moisturizer,,0.4,0,0,1,0,0,1,0.3,0,0,0.8,0,0,0.3,0,39,moisturizer,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/brightskinmoisturizer_keyimage.jpg?itok=U454sJYd,,
Calm Skin Chamomile Moisturizer,,0.9,0.9,0.9,0.9,0,0.9,0,1,0,0,0.6,0,0,1,0,40,moisturizer,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/calm_skin_chamomile_moisturizer.jpg?itok=2z0sm-aY,,
Coconut Age Corrective Moisturizer,,,,,,,,,,,,,,,,,41,moisturizer,,,https://dxs1x0sxlq03u.cloudfront.net/sites/default/files/styles/product_medium/public/product-image/coconutagecorrectivemoisturize_keyimage.jpg?itok=1uOjZ2SM,,
